Z,Symbol,k,Experimental_IE,Theoretical_IE,Error_eV,Error_Pct
26,Fe,2,16.188,12.439431601720571,-3.748568398279428,-23.156464036813862
26,Fe,3,30.652,7.75499102864326,-22.89700897135674,-74.69988572150835
26,Fe,4,54.8,26.52838437883229,-28.271615621167708,-51.590539454685604
26,Fe,5,75.0,44.83221959385992,-30.167780406140082,-40.223707208186774
26,Fe,6,99.1,67.06439667370432,-32.03560332629567,-32.32654220615103
26,Fe,7,124.98,91.7682156183946,-33.2117843816054,-26.573679293971352
26,Fe,8,151.06,118.94367642791622,-32.116323572083786,-21.26064052170249
26,Fe,9,233.6,265.9986118864646,32.39861188646458,13.869268787013947
26,Fe,10,262.1,302.76941577932735,40.66941577932732,15.516755352662084
27,Co,1,7.881,8.150417052645935,0.2694170526459345,3.4185643020674346
27,Co,2,17.084,12.833691972620727,-4.250308027379273,-24.87888098442562
27,Co,3,33.5,3.5048475211075623,-29.995152478892436,-89.53776859370876
27,Co,4,51.3,21.849816685349495,-29.450183314650502,-57.40776474590742
27,Co,5,79.5,44.1231277144373,-35.3768722855627,-44.499210422091444
27,Co,6,102.0,65.92688060834189,-36.07311939165811,-35.36580332515501
27,Co,7,128.9,91.65897536709235,-37.24102463290765,-28.891407783481498
27,Co,8,157.8,119.86271199066687,-37.937288009333145,-24.041373896915804
27,Co,9,186.13,150.53809047907998,-35.59190952092001,-19.122070338430134
27,Co,10,275.4,316.09637570566986,40.69637570566988,14.777187983177154
28,Ni,1,7.64,8.474682107655099,0.834682107655099,10.925158477160982
28,Ni,2,18.169,13.234103173970652,-4.934896826029348,-27.161081105340678
28,Ni,3,35.19,156.09484129916666,120.90484129916666,343.5772699606896
28,Ni,4,54.9,12.972470484662592,-41.927529515337405,-76.37072771464008
28,Ni,5,76.06,35.84563314185621,-40.21436685814379,-52.87189962942912
28,Ni,6,108.0,61.19043766388843,-46.80956233611157,-43.34218734825146
28,Ni,7,133.0,90.4635840507447,-42.5364159492553,-31.982267631019024
28,Ni,8,162.0,119.26717230244685,-42.73282769755315,-26.378288702193302
28,Ni,9,193.0,151.99910241897305,-41.00089758102695,-21.243988383951788
28,Ni,10,224.6,187.20267440033058,-37.397325599669415,-16.65063472825887
29,Cu,1,7.726,8.805097993121308,1.0790979931213078,13.967098021243954
29,Cu,2,20.292,13.640665205784899,-6.651334794215103,-32.77811351377441
29,Cu,3,36.841,169.97095850344624,133.12995850344623,361.3635854169166
29,Cu,4,57.38,7.316991977451206,-50.0630080225488,-87.24818407554687
29,Cu,5,79.8,31.218430448705003,-48.58156955129499,-60.87915983871552
29,Cu,6,103.0,57.59151078479013,-45.40848921520987,-44.08591185942706
29,Cu,7,139.0,86.43623298570658,-52.56376701429342,-37.81565972251325
29,Cu,8,166.0,119.20929705146891,-46.79070294853109,-28.187170450922345
29,Cu,9,199.0,151.51280298204802,-47.487197017951985,-23.86291307434773
29,Cu,10,232.2,187.744650777473,-44.45534922252699,-19.145283902897066
30,Zn,1,9.394,9.141664709044562,-0.25233529095543794,-2.6861325415737483
30,Zn,2,17.964,14.05337806805619,-3.9106219319438082,-21.76921583135053
30,Zn,3,39.723,184.0431709984506,144.32017099845058,363.3163935212612
30,Zn,4,59.4,0.8503098656611983,-58.5496901343388,-98.5685019096613
30,Zn,5,82.6,25.7800241509679,-56.81997584903209,-68.78931700851342
30,Zn,6,108.0,53.181380301120484,-54.818619698879516,-50.757981202666215
30,Zn,7,134.0,83.05437831609711,-50.945621683902885,-38.01912065962902
30,Zn,8,174.0,115.39901819590507,-58.60098180409493,-33.6787251747672
30,Zn,9,203.0,151.67199994055892,-51.32800005944108,-25.284729093320728
30,Zn,10,238.0,187.47542355002952,-50.52457644997048,-21.22881363444138
31,Ga,1,5.999,6.662041261246486,0.6630412612464864,11.052529775737398
31,Ga,2,20.515,17.96185256906756,-2.553147430932441,-12.44527141570773
31,Ga,3,30.71,24.526222387088637,-6.1837776129113635,-20.136039117262662
31,Ga,4,63.241,0.8503098656611983,-62.390690134338804,-98.6554452559871
31,Ga,5,86.01,25.7800241509679,-60.2299758490321,-70.0267129973632
31,Ga,6,112.7,53.181380301120484,-59.51861969887952,-52.81155252784341
31,Ga,7,140.9,83.05437831609711,-57.84562168390289,-41.05438018729801
31,Ga,8,169.9,115.39901819590507,-54.500981804094934,-32.07827063219242
31,Ga,9,211.0,151.67199994055892,-59.32800005944108,-28.117535573194825
31,Ga,10,244.0,187.47542355002952,-56.52457644997048,-23.165810020479704
32,Ge,1,7.9,7.806696747524256,-0.093303252475744,-1.1810538288068861
32,Ge,2,15.935,13.865596590469067,-2.069403409530933,-12.986529083971968
32,Ge,3,34.224,29.67940448765148,-4.544595512348515,-13.278972394660224
32,Ge,4,45.713,37.896430764689285,-7.816569235310716,-17.09922611797676
32,Ge,5,93.5,19.530414248666727,-73.96958575133327,-79.11185641853825
32,Ge,6,115.9,47.960046212872214,-67.93995378712779,-58.619459695537344
32,Ge,7,144.3,78.86132004190175,-65.43867995809826,-45.34905056001266
32,Ge,8,176.4,112.23423573577716,-64.16576426422284,-36.37514980965014
32,Ge,9,212.4,148.0787932944766,-64.3212067055234,-30.283054004483706
32,Ge,10,252.1,187.8516927180147,-64.24830728198529,-25.485246839343628
33,As,1,9.815,9.652247540589679,-0.16275245941032068,-1.6582013184953712
33,As,2,18.633,15.756365974659275,-2.8766340253407243,-15.438383649121047
33,As,3,28.351,23.390601508719556,-4.9603984912804435,-17.496379285670503
33,As,4,50.13,44.294320464818156,-5.835679535181846,-11.641092230564224
33,As,5,62.63,54.16400320085086,-8.465996799149146,-13.517478523310148
33,As,6,127.6,41.92750852003804,-85.67249147996196,-67.14145100310499
33,As,7,155.4,73.85705816314231,-81.5429418368577,-52.47293554495347
33,As,8,183.3,108.25824967106335,-75.04175032893666,-40.939307326206574
33,As,9,215.5,145.131083043823,-70.368916956177,-32.653789770847794
33,As,10,253.0,184.47555828142123,-68.52444171857877,-27.084759572560777
34,Se,1,9.752,9.96731030712397,0.21531030712396948,2.2078579483589977
34,Se,2,21.19,18.348030665637133,-2.8419693343628687,-13.411842068725194
34,Se,3,30.82,26.027484790829476,-4.792515209170524,-15.550016901916042
34,Se,4,42.945,35.237056016005226,-7.707943983994774,-17.948408392117297
34,Se,5,68.3,61.80660050055303,-6.493399499446966,-9.507173498458222
34,Se,6,81.7,73.32893969558063,-8.371060304419373,-10.246095843842562
34,Se,7,155.4,68.04159267979698,-87.35840732020303,-56.215191325741976
34,Se,8,192.1,103.47106000177092,-88.62893999822907,-46.13687662583502
34,Se,9,227.5,141.37216918860528,-86.12783081139472,-37.85838716984383
34,Se,10,266.0,181.7449202402419,-84.2550797597581,-31.67484201494666
35,Br,1,11.814,10.983268380438638,-0.8307316195613623,-7.031755709847319
35,Br,2,21.81,19.409207330098415,-2.400792669901584,-11.007760980750042
35,Br,3,36.0,29.365263379727047,-6.634736620272953,-18.429823945202646
35,Br,4,47.3,38.62005319603486,-8.679946803965137,-18.350838909017206
35,Br,5,59.7,49.40496011232608,-10.295039887673923,-17.244622927427006
35,Br,6,88.6,82.21624459483428,-6.383755405165715,-7.205141540819092
35,Br,7,103.0,95.3912402488786,-7.608759751121397,-7.38714538943825
35,Br,8,192.8,97.87266672790714,-94.92733327209287,-49.23616870959173
35,Br,9,227.9,136.80205172877987,-91.09794827122013,-39.97277238754723
35,Br,10,264.2,178.20307859451302,-85.99692140548697,-32.54993240177402
36,Kr,1,14.0,11.971771760548233,-2.0282282394517672,-14.487344567512622
36,Kr,2,24.36,21.17127930132552,-3.18872069867448,-13.089986447760591
36,Kr,3,36.95,31.172553942086214,-5.777446057913789,-15.635848600578589
36,Kr,4,52.5,42.70394568284487,-9.796054317155132,-18.659151080295487
36,Kr,5,64.7,53.5340711902536,-11.165928809746404,-17.258004342730146
36,Kr,6,78.5,65.89431379768939,-12.605686202310608,-16.05819898383517
36,Kr,7,111.0,105.523252747691,-5.476747252308996,-4.934006533611709
36,Kr,8,126.0,120.35090486075205,-5.649095139247947,-4.483408840672974
36,Kr,9,230.85,131.4207306644049,-99.42926933559508,-43.07094188243235
36,Kr,10,268.2,173.85003334417644,-94.34996665582355,-35.17895848464711
37,Rb,1,4.177128,4.342674935356015,0.16554693535601483,3.963176023239289
37,Rb,2,,23.079228580274737,,
37,Rb,3,,33.93560650043395,,
37,Rb,4,,45.59981860009786,,
37,Rb,5,,58.80572640165682,,
37,Rb,6,,71.30506139401065,,
37,Rb,7,,85.34609208824484,,
37,Rb,8,,132.724425618397,,
37,Rb,9,,149.32944290250725,,
37,Rb,10,,168.0549289049534,,
38,Sr,1,5.694867,6.211902168978323,0.5170351689783228,9.078968288079823
38,Sr,2,,9.697880407951555,,
38,Sr,3,,36.4501008670125,,
38,Sr,4,,48.89885516767885,,
38,Sr,5,,62.15577602983889,,
38,Sr,6,,76.95502692200627,,
38,Sr,7,,91.04741428672531,,
38,Sr,8,,106.68213168145168,,
38,Sr,9,,162.11305234955668,,
38,Sr,10,,180.39074920085528,,
39,Y,1,6.2173,6.456657591008108,0.23935759100810827,3.849863944286238
39,Y,2,,9.999873579043236,,
39,Y,3,,12.587404186809634,,
39,Y,4,,52.173476710130004,,
39,Y,5,,66.21606748554035,,
39,Y,6,,81.06716606796816,,
39,Y,7,,97.46124592393114,,
39,Y,8,,113.14816378174699,,
39,Y,9,,130.37806291309803,,
39,Y,10,,194.44963080647443,,
40,Zr,1,6.63405,6.706197369102344,0.07214736910234354,1.0875312833388886
40,Zr,2,,10.306737635095017,,
40,Zr,3,,12.459536110862102,,
40,Zr,4,,22.372757942377426,,
40,Zr,5,,70.25283686429974,,
40,Zr,6,,85.8907764546536,,
40,Zr,7,,102.33757396109813,,
40,Zr,8,,120.32802089994787,,
40,Zr,9,,137.61099961751074,,
40,Zr,10,,156.43762776753758,,
41,Nb,1,6.75885,6.960535466573294,0.20168546657329411,2.9840204557475625
41,Nb,2,,10.61848837354294,,
41,Nb,3,,11.721455590898309,,
41,Nb,4,,22.40595808501956,,
41,Nb,5,,34.94966510838268,,
41,Nb,6,,90.6918160657989,,
41,Nb,7,,107.92666905719979,,
41,Nb,8,,125.97073893725528,,
41,Nb,9,,145.55914332404558,,
41,Nb,10,,164.4397655139244,,
42,Mo,1,7.09243,7.2196861431328525,0.12725614313285227,1.7942530716954876
42,Mo,2,,10.935141888075869,,
42,Mo,3,,10.37358166953996,,
42,Mo,4,,21.82895805076451,,
42,Mo,5,,35.143115462384735,,
42,Mo,6,,50.316053904386145,,
42,Mo,7,,113.49420303231862,,
42,Mo,8,,132.32758625681802,,
42,Mo,9,,151.97055420599733,,
42,Mo,10,,173.15855865173006,,
43,Tc,1,7.11938,7.483663954745772,0.3642839547457726,5.116793242470168
43,Tc,2,,11.25671456872359,,
43,Tc,3,,9.865695565163715,,
43,Tc,4,,20.6421842412938,,
43,Tc,5,,34.72636232438187,,
43,Tc,6,,50.66888773422828,,
43,Tc,7,,68.46976047083305,,
43,Tc,8,,138.66394046314008,,
43,Tc,9,,159.0975229986053,,
43,Tc,10,,180.3410669584134,,
44,Ru,1,7.3605,7.752483753644283,0.39198375364428273,5.32550443100717
44,Ru,2,,11.583223101812818,,
44,Ru,3,,5.822577298222386,,
44,Ru,4,,20.29507902578207,,
44,Ru,5,,33.69983945510097,,
44,Ru,6,,50.41149917474546,,
44,Ru,7,,68.98106231273434,,
44,Ru,8,,89.40852886905311,,
44,Ru,9,,166.20512503884083,,
44,Ru,10,,188.24062820921952,,
45,Rh,1,7.4589,8.026160688416295,0.5672606884162956,7.605152078943217
45,Rh,2,,11.914684469937738,,
45,Rh,3,,2.6203989292224907,,
45,Rh,4,,16.413475167475433,,
45,Rh,5,,33.5126424157626,,
45,Rh,6,,49.54432934573885,,
45,Rh,7,,68.88210728574933,,
45,Rh,8,,90.07733453092806,,
45,Rh,9,,113.13001108121713,,
45,Rh,10,,196.12200742169148,,
46,Pd,1,8.3369,8.304710203873048,-0.03218979612695172,-0.3861122974601077
46,Pd,2,,12.25111595200411,,
46,Pd,3,,64.63560330782555,,
46,Pd,4,,9.726171276205433,,
46,Pd,5,,26.91790546010717,,
46,Pd,6,,45.96662463118093,,
46,Pd,7,,68.32060836841096,,
46,Pd,8,,89.60737863193307,,
46,Pd,9,,114.19941346169826,,
46,Pd,10,,140.64843327854868,,
47,Ag,1,7.576234,8.588148041225688,1.0119140412256877,13.356425385299447
47,Ag,2,,12.592535123214587,,
47,Ag,3,,65.20925750688811,,
47,Ag,4,,5.468967136928553,,
47,Ag,5,,23.428671282079183,,
47,Ag,6,,43.24488589161449,,
47,Ag,7,,64.91761096550553,,
47,Ag,8,,89.89475599816063,,
47,Ag,9,,113.80496026639841,,
47,Ag,10,,141.01958449337133,,
48,Cd,1,8.99382,8.87649023789394,-0.11732976210605983,-1.3045598211445175
48,Cd,2,,12.938959855068699,,
48,Cd,3,,65.12442204912037,,
